Duration,Title,Published_date,Views,Likes,Comments,Type,mês-ano
7802.0,COMO FOI O GP DE SÃO PAULO? - RESULTADO E COMENTÁRIOS,2024-11-05,223508,16003,301,Live,Nov-24
5302.0,FAZENDO UM NOVO HIDROMEL,2024-11-04,19645,1146,21,Live,Nov-24
58.0,A maneira de Francis Ford Coppola fazer filmes #francisfordcoppola #apocalypsenow #megalopolis,2024-11-02,8821,645,11,Short,Nov-24
60.0,A falta de criatividade no cinema #megalopolis #francisfordcoppola #flowpodcast,2024-11-01,15441,849,10,Short,Nov-24
1095.0,Entrevista com FRANCIS FORD COPPOLA,2024-11-01,218227,23143,750,Live,Nov-24
5913.0,PIETRO FITTIPALDI + ENZO FITTIPALDI [+ RUBENS BARRICHELLO] - Flow #410,2024-10-31,194232,13066,184,Live,Oct-24
55.0,Cbum e seu sonho de ir pra Open #cbum #mrolympia #chrisbumstead #flowpodcast,2024-10-30,14481,848,9,Short,Oct-24
20.0,Quando você menos espera o Igor 3k estará lá #ballondor #rodri #flowpodcast #vinijr,2024-10-30,200960,14837,207,Short,Oct-24
9542.0,GUSTAVO FERRAREZI + RATO BORRACHUDO - Flow #409,2024-10-26,186730,11003,163,Live,Oct-24
8677.0,RAFAEL GRATTA - Flow #408,2024-10-25,216018,12470,302,Live,Oct-24
8419.0,MANUAL PARA NÃO SER FEITO DE OTARIO,2024-10-24,117784,6363,162,Live,Oct-24
9005.0,SOROCABA - Flow #407,2024-10-22,115451,5466,149,Live,Oct-24
6403.0,GLORIA GROOVE - Flow #406,2024-10-16,107962,6599,200,Live,Oct-24
7913.0,Mr. OLYMPIA 2024 - RESULTADO e COMENTÁRIOS,2024-10-15,493992,32091,527,Live,Oct-24
6955.0,GLENN GREENWALD - Flow #405,2024-10-11,119415,5767,453,Live,Oct-24
7903.0,LUANA ZUCOLOTO - Flow #404,2024-10-11,81449,3680,112,Live,Oct-24
12946.0,[FLOW GAMES] SCHAEPPI + CROSS + PHOENIX - Flow #403,2024-10-08,168839,10354,149,Live,Oct-24
10382.0,KAIO D’ELAQUA - Flow #402,2024-10-04,129043,7369,275,Live,Oct-24
7665.0,CONFLITOS NO ORIENTE MÉDIO [+ Oliver Stuenkel],2024-10-03,176098,9094,323,Live,Oct-24
23.0,É lá ele atrás de lá ele #bitelo #laele #flowpodcast #shorts,2024-10-02,20028,1162,13,Short,Oct-24
20.0,Aquele amigo que não perde a oportunidade #sergiosacani #spacetoday #flowpodcast,2024-10-02,18233,1151,9,Short,Oct-24
38.0,Cuidado com o que você come no espaço #nasa #flowpodcast #astronauta,2024-10-02,21637,1143,17,Short,Oct-24
8176.0,"ASTRONAUTAS ""PRESOS"" NO ESPAÇO [+ Sergio Sacani e Pedro Pallotta]",2024-10-01,185673,9778,122,Live,Oct-24
4102.0,TABATA AMARAL - Corrida à Prefeitura de São Paulo 2024,2024-09-27,119669,7201,1762,Live,Sep-24
6893.0,JULIO BALESTRIN + BITELO - Flow #401,2024-09-27,389257,26855,1014,Live,Sep-24
8297.0,NANDO MOURA - Flow #400,2024-09-25,492684,33689,5426,Live,Sep-24
15454.0,DEBATE FLOW NEWS | PREFEITURA DE SÃO PAULO,2024-09-24,7509795,260197,46164,Live,Sep-24
51.0,Aprecie cada passo do caminho #flowpodcast #filosofia #monjacoen #igor3k #shorts,2024-09-17,56436,4659,104,Short,Sep-24
42.0,O inacreditável tio do Tatuí #flowpodcast #igorfina #rio,2024-09-13,172762,11180,64,Short,Sep-24
8151.0,IGOR GUEDES - Flow #399,2024-09-12,471464,23921,343,Live,Sep-24
6027.0,RICARDO NUNES - Corrida à Prefeitura de São Paulo 2024,2024-09-11,150245,5704,825,Live,Sep-24
6941.0,DATENA - Corrida à Prefeitura de São Paulo 2024,2024-09-09,197824,8661,644,Live,Sep-24
8768.0,DUBDOGZ [RUBACK] - Flow #398,2024-09-06,63458,2871,87,Live,Sep-24
60.0,O dia que o Vilela saiu pra rezar de madrugada #shorts #flowpodcast #inteligencialtda,2024-09-05,326881,24257,256,Short,Sep-24
53.0,Seja uma lanterna do lado bom da vida #flowpodcast #filosofia #clovisdebarros #shorts,2024-09-04,28070,2088,14,Short,Sep-24
8217.0,ROGÉRIO VILELA - Flow #397,2024-09-04,636923,27296,580,Live,Sep-24
7841.0,GUILHERME BOULOS - Corrida à Prefeitura de São Paulo 2024,2024-09-03,836400,34584,8281,Live,Sep-24
60.0,As eleições são um concurso de miss? #flowpodcast #pablomarçal #marçal #eleições2024,2024-08-30,25372,1495,124,Short,Aug-24
8770.0,LUCIO MAURO FILHO - Flow #396,2024-08-30,151102,7239,118,Live,Aug-24
58.0,Pablo Marçal e suas estratégias na internet #flowpodcast #pablomarçal #shorts #marçal #eleições2024,2024-08-29,166644,10853,327,Short,Aug-24
12435.0,PABLO MARÇAL - Corrida à Prefeitura de São Paulo 2024,2024-08-29,6478830,365078,16436,Live,Aug-24
24.0,Conversas para não se ter no Uber #shorts #flowpodcast #igor3k,2024-08-28,50316,3487,38,Short,Aug-24
